id,country_name,country_id,is_active,created_by,created_date,updated_by,updated_date
135,Malta,135,1,admin,"2023-06-14 03:33:06",NULL,NULL
136,"Man (Isle of)",136,1,admin,"2023-06-14 03:33:06",NULL,NULL
137,"Marshall Islands",137,1,admin,"2023-06-14 03:33:06",NULL,NULL
138,Martinique,138,1,admin,"2023-06-14 03:33:06",NULL,NULL
139,Mauritania,139,1,admin,"2023-06-14 03:33:06",NULL,NULL
140,Mauritius,140,1,admin,"2023-06-14 03:33:06",NULL,NULL
141,Mayotte,141,1,admin,"2023-06-14 03:33:06",NULL,NULL
142,Mexico,142,1,admin,"2023-06-14 03:33:06",NULL,NULL
143,Micronesia,143,1,admin,"2023-06-14 03:33:06",NULL,NULL
144,Moldova,144,1,admin,"2023-06-14 03:33:06",NULL,NULL
145,Monaco,145,1,admin,"2023-06-14 03:33:06",NULL,NULL
146,Mongolia,146,1,admin,"2023-06-14 03:33:06",NULL,NULL
147,Montserrat,147,1,admin,"2023-06-14 03:33:06",NULL,NULL
148,Morocco,148,1,admin,"2023-06-14 03:33:06",NULL,NULL
149,Mozambique,149,1,admin,"2023-06-14 03:33:06",NULL,NULL
150,Myanmar,150,1,admin,"2023-06-14 03:33:06",NULL,NULL
151,Namibia,151,1,admin,"2023-06-14 03:33:06",NULL,NULL
152,Nauru,152,1,admin,"2023-06-14 03:33:06",NULL,NULL
153,Nepal,153,1,admin,"2023-06-14 03:33:06",NULL,NULL
154,"Netherlands Antilles",154,1,admin,"2023-06-14 03:33:06",NULL,NULL
155,"Netherlands The",155,1,admin,"2023-06-14 03:33:06",NULL,NULL
156,"New Caledonia",156,1,admin,"2023-06-14 03:33:06",NULL,NULL
157,"New Zealand",157,1,admin,"2023-06-14 03:33:06",NULL,NULL
158,Nicaragua,158,1,admin,"2023-06-14 03:33:06",NULL,NULL
159,Niger,159,1,admin,"2023-06-14 03:33:06",NULL,NULL
160,Nigeria,160,1,admin,"2023-06-14 03:33:06",NULL,NULL
161,Niue,161,1,admin,"2023-06-14 03:33:06",NULL,NULL
162,"Norfolk Island",162,1,admin,"2023-06-14 03:33:06",NULL,NULL
163,"Northern Mariana Islands",163,1,admin,"2023-06-14 03:33:06",NULL,NULL
164,Norway,164,1,admin,"2023-06-14 03:33:06",NULL,NULL
165,Oman,165,1,admin,"2023-06-14 03:33:06",NULL,NULL
166,Pakistan,166,1,admin,"2023-06-14 03:33:06",NULL,NULL
167,Palau,167,1,admin,"2023-06-14 03:33:06",NULL,NULL
168,"Palestinian Territory Occupied",168,1,admin,"2023-06-14 03:33:06",NULL,NULL
169,Panama,169,1,admin,"2023-06-14 03:33:06",NULL,NULL
170,"Papua new Guinea",170,1,admin,"2023-06-14 03:33:06",NULL,NULL
171,Paraguay,171,1,admin,"2023-06-14 03:33:06",NULL,NULL
172,Peru,172,1,admin,"2023-06-14 03:33:06",NULL,NULL
173,Philippines,173,1,admin,"2023-06-14 03:33:06",NULL,NULL
174,"Pitcairn Island",174,1,admin,"2023-06-14 03:33:06",NULL,NULL
175,Poland,175,1,admin,"2023-06-14 03:33:06",NULL,NULL
176,Portugal,176,1,admin,"2023-06-14 03:33:06",NULL,NULL
177,"Puerto Rico",177,1,admin,"2023-06-14 03:33:06",NULL,NULL
178,Qatar,178,1,admin,"2023-06-14 03:33:06",NULL,NULL
179,Reunion,179,1,admin,"2023-06-14 03:33:06",NULL,NULL
180,Romania,180,1,admin,"2023-06-14 03:33:06",NULL,NULL
181,Russia,181,1,admin,"2023-06-14 03:33:06",NULL,NULL
182,Rwanda,182,1,admin,"2023-06-14 03:33:06",NULL,NULL
183,"Saint Helena",183,1,admin,"2023-06-14 03:33:06",NULL,NULL
184,"Saint Kitts And Nevis",184,1,admin,"2023-06-14 03:33:06",NULL,NULL
185,"Saint Lucia",185,1,admin,"2023-06-14 03:33:06",NULL,NULL
186,"Saint Pierre and Miquelon",186,1,admin,"2023-06-14 03:33:06",NULL,NULL
187,"Saint Vincent And The Grenadines",187,1,admin,"2023-06-14 03:33:06",NULL,NULL
188,Samoa,188,1,admin,"2023-06-14 03:33:06",NULL,NULL
189,"San Marino",189,1,admin,"2023-06-14 03:33:06",NULL,NULL
190,"Sao Tome and Principe",190,1,admin,"2023-06-14 03:33:06",NULL,NULL
191,"Saudi Arabia",191,1,admin,"2023-06-14 03:33:06",NULL,NULL
192,Senegal,192,1,admin,"2023-06-14 03:33:06",NULL,NULL
193,Serbia,193,1,admin,"2023-06-14 03:33:06",NULL,NULL
194,Seychelles,194,1,admin,"2023-06-14 03:33:06",NULL,NULL
195,"Sierra Leone",195,1,admin,"2023-06-14 03:33:06",NULL,NULL
196,Singapore,196,1,admin,"2023-06-14 03:33:06",NULL,NULL
197,Slovakia,197,1,admin,"2023-06-14 03:33:06",NULL,NULL
198,Slovenia,198,1,admin,"2023-06-14 03:33:06",NULL,NULL
199,"Smaller Territories of the UK",199,1,admin,"2023-06-14 03:33:06",NULL,NULL
200,"Solomon Islands",200,1,admin,"2023-06-14 03:33:06",NULL,NULL
201,Somalia,201,1,admin,"2023-06-14 03:33:06",NULL,NULL
202,"South Africa",202,1,admin,"2023-06-14 03:33:06",NULL,NULL
203,"South Georgia",203,1,admin,"2023-06-14 03:33:06",NULL,NULL
204,"South Sudan",204,1,admin,"2023-06-14 03:33:06",NULL,NULL
205,Spain,205,1,admin,"2023-06-14 03:33:06",NULL,NULL
206,"Sri Lanka",206,1,admin,"2023-06-14 03:33:06",NULL,NULL
207,Sudan,207,1,admin,"2023-06-14 03:33:06",NULL,NULL
208,Suriname,208,1,admin,"2023-06-14 03:33:06",NULL,NULL
209,"Svalbard And Jan Mayen Islands",209,1,admin,"2023-06-14 03:33:06",NULL,NULL
210,Swaziland,210,1,admin,"2023-06-14 03:33:06",NULL,NULL
211,Sweden,211,1,admin,"2023-06-14 03:33:06",NULL,NULL
212,Switzerland,212,1,admin,"2023-06-14 03:33:06",NULL,NULL
213,Syria,213,1,admin,"2023-06-14 03:33:06",NULL,NULL
214,Taiwan,214,1,admin,"2023-06-14 03:33:06",NULL,NULL
215,Tajikistan,215,1,admin,"2023-06-14 03:33:06",NULL,NULL
216,Tanzania,216,1,admin,"2023-06-14 03:33:06",NULL,NULL
217,Thailand,217,1,admin,"2023-06-14 03:33:06",NULL,NULL
218,Togo,218,1,admin,"2023-06-14 03:33:06",NULL,NULL
219,Tokelau,219,1,admin,"2023-06-14 03:33:06",NULL,NULL
220,Tonga,220,1,admin,"2023-06-14 03:33:06",NULL,NULL
221,"Trinidad And Tobago",221,1,admin,"2023-06-14 03:33:06",NULL,NULL
222,Tunisia,222,1,admin,"2023-06-14 03:33:06",NULL,NULL
223,Turkey,223,1,admin,"2023-06-14 03:33:06",NULL,NULL
224,Turkmenistan,224,1,admin,"2023-06-14 03:33:06",NULL,NULL
225,"Turks And Caicos Islands",225,1,admin,"2023-06-14 03:33:06",NULL,NULL
226,Tuvalu,226,1,admin,"2023-06-14 03:33:06",NULL,NULL
227,Uganda,227,1,admin,"2023-06-14 03:33:06",NULL,NULL
228,Ukraine,228,1,admin,"2023-06-14 03:33:06",NULL,NULL
229,"United Arab Emirates",229,1,admin,"2023-06-14 03:33:06",NULL,NULL
230,"United Kingdom",230,1,admin,"2023-06-14 03:33:06",NULL,NULL
231,"United States",231,1,admin,"2023-06-14 03:33:06",NULL,NULL
232,"United States Minor Outlying Islands",232,1,admin,"2023-06-14 03:33:06",NULL,NULL
233,Uruguay,233,1,admin,"2023-06-14 03:33:06",NULL,NULL
234,Uzbekistan,234,1,admin,"2023-06-14 03:33:06",NULL,NULL
235,Vanuatu,235,1,admin,"2023-06-14 03:33:06",NULL,NULL
